[0:0 - 0:0.0]; Angry
[0:1.0 - 0:4.5]; Happy
[0:5.5 - 0:5.0]; Angry
[0:6.0 - 0:5.5]; Undefined
[0:6.5 - 0:10.0]; Happy
[0:11.0 - 0:15.0]; Angry
[0:16.0 - 0:15.5]; Happy
[0:16.5 - 0:17.0]; Angry
[0:18.0 - 0:19.5]; Happy
[0:20.5 - 0:20.5]; Angry
[0:21.5 - 0:21.0]; Happy
[0:22.0 - 0:21.5]; Angry
[0:22.5 - 0:27.0]; Happy
[0:28.0 - 0:28.0]; Angry
[0:29.0 - 0:28.5]; Happy
[0:29.5 - 0:31.5]; Angry
[0:32.5 - 0:33.0]; Happy
[0:34.0 - 0:33.5]; Angry
[0:34.5 - 0:34.0]; Happy
[0:35.0 - 0:36.5]; Angry
[0:37.5 - 0:37.0]; Happy
[0:38.0 - 0:37.5]; Angry
[0:38.5 - 0:38.0]; Happy
[0:39.0 - 0:38.5]; Angry
[0:39.5 - 0:43.0]; Happy
[0:44.0 - 0:43.5]; Sad
[0:44.5 - 0:44.0]; Angry
[0:45.0 - 0:44.5]; Happy
[0:45.5 - 0:45.0]; Undefined
[0:46.0 - 0:45.5]; Neutral
[0:46.5 - 0:49.0]; Happy
[0:50.0 - 1:7.5]; Undefined
[1:8.5 - 1:8.0]; Angry
[1:9.0 - 1:9.5]; Happy
[1:10.5 - 1:16.5]; Angry
[1:17.5 - 1:18.5]; Undefined
[1:19.5 - 1:19.5]; Angry
[1:20.5 - 1:20.0]; Happy
[1:21.0 - 1:21.0]; Undefined
[1:22.0 - 1:21.5]; Angry
[1:22.5 - 1:23.0]; Undefined
[1:24.0 - 1:24.5]; Happy
[1:25.5 - 1:25.5]; Angry
[1:26.5 - 1:27.0]; Undefined
[1:28.0 - 1:27.5]; Angry
[1:28.5 - 1:29.0]; Undefined
[1:30.0 - 1:29.5]; Angry
[1:30.5 - 1:30.0]; Happy
[1:31.0 - 1:30.5]; Angry
[1:31.5 - 1:31.0]; Happy
[1:32.0 - 1:31.5]; Angry
[1:32.5 - 1:32.0]; Neutral
[1:33.0 - 1:32.5]; Angry
[1:33.5 - 1:34.0]; Undefined
[1.0:35.0 - 1:35.0]; Angry
